Organization Name,Sector,type of organization,PII,Sensitivity Score (S),Exposure Score (E),Exploitability Score (X),Impact Score (I),Aggregation Multiplier (A),Raw Risk Score,Normalized Score (0-100),Risk Category,Primary Risk Mechanism 1,Primary Risk Mechanism 2,Primary Risk Mechanism 3
NDI,Social media,Government,CID,4,4,4,5,1,320,25.6,Moderate,"Identity Reconstruction , Impersonation",NULL,NULL
Personal Account,Social Media,Personal account,"CID, Phone number, Date of Birth",4,4,5,5,1.5,600,48,High,Social Engineering,"Identity Reconstruction , Impersonation",Fraud Execution & Financial Exploitation
Thimphu Tech park,Social Media,Government,"Email, name & address",3,4,4,3,1.5,216,17.28,Low,Social Engineering,Fraud Execution & Financial Exploitation,"Sensitive Exposure , Personal Harm"
The Bhutanese(facebook),Social Media,Private Sector,"CID, Name",4,4,4,5,1.2,384,30.72,Moderate,"Identity Reconstruction , Impersonation",,
MoESD,Social Media,Government,CID,4,5,4,5,1,400,32,Moderate,"Identity Reconstruction , Impersonation",,
Sherubtse College,Websites,Academic institution,"CID, email",4,4,5,4,1.2,384,30.72,Moderate,Social Engineering,"Identity Reconstruction , Impersonation",
CST,Websites,Academic institution,"name, email, and resume",4,4,4,3,1.5,288,23.04,Moderate,Social Engineering,"Identity Reconstruction , Impersonation",Fraud Execution & Financial Exploitation
NRC,Websites,Academic institution,"Name, email, current employment record",3,4,4,4,1.5,288,23.04,Moderate,,,
PCE,Websites,Academic institution,"Name, Gender, Marital status, Employee ID, CID, Place of birth, Nationality, Religion, Date of Birth, Father’s name, Mother’s name, Profession, Employment details, Email, Phone number, Address",5,5,5,4,2,1000,80,Critical,,,
GCIT,Websites,Academic institution,CID,4,5,4,5,1,400,32,Moderate,,,
Kuensel,Social Media,Private Sector,"CID, Name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal Account,Social media,Personal account,"Name, email, DOB, employment location",4,4,4,4,2,512,40.96,High,,,
Personal Account,Social media,Personal account,Name & marks,3,4,2,3,1.2,86.4,6.912,Low,,,
Personal Account,social media,Personal account,name ,1,4,2,1,1,8,0.64,Low,,,
MOF,social Media,Government,"email,phone number",3,4,5,4,1.2,288,23.04,Moderate,,,
ACC,social Media,Government,"CID, name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal Account(DT),social Media,Personal account,"Phone, number and account number",5,4,5,5,1.2,600,48,High,,,
Personal Account ,social Media,Personal account,lisence plate,2,4,3,3,1,72,5.76,Low,,,
Kuensel,social Media,Private Sector,"name, image",2,4,3,2,1,48,3.84,Low,,,
Personal ,social Media,Personal account,"name, CID",4,4,4,5,1.2,384,30.72,Moderate,,,
"Dzongkhag ADM, Wangdue",social Media,Government,CID,4,5,4,5,1,400,32,Moderate,,,
NDI,Social Media,Government,"CID, name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal ,social Media,Personal account,"CID, name, DOB",4,4,5,5,1.5,600,48,High,,,
Personal ,social Media,Personal account," CID, name, household number, thram number, date of birth, village, and marital status ",5,4,5,5,2,1000,80,Critical,,,
BNB,social Media,Financial institution,"CID, phone number",4,4,4,4,1.2,307.2,24.576,Moderate,,,
